satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_with_company,involved_in_accident,left_company,promoted_last_5_years,department,salary_level
84.0,40.0,4,246,3,0,0,0,sales,low
55.00000000000001,83.0,3,157,2,0,0,0,sales,medium
74.0,38.0,2,126,3,0,0,0,sales,medium
84.0,75.0,2,168,2,0,0,0,technical,low
41.0,50.0,2,153,3,0,1,0,sales,low
76.0,85.0,4,190,3,0,0,0,sales,medium
89.0,74.0,5,220,3,0,0,0,IT,medium
50.0,85.0,2,143,3,0,0,0,IT,low
95.0,40.0,5,286,4,0,0,0,support,low
62.0,57.99999999999999,3,202,2,0,0,0,support,medium
63.0,94.0,3,237,3,1,0,0,RandD,medium
98.0,77.0,5,223,2,1,0,0,support,medium
49.0,61.0,5,196,3,0,0,0,support,medium
45.0,42.0,4,156,7,0,0,0,product_mng,high
52.0,83.0,5,145,3,0,0,0,sales,medium
47.0,50.0,4,159,2,0,0,0,product_mng,low
59.0,94.0,5,157,7,1,0,0,management,medium
45.0,48.0,5,287,5,0,0,0,support,medium
63.0,50.0,5,246,2,0,0,0,hr,low
46.0,53.0,2,129,3,0,1,0,technical,low
75.0,57.99999999999999,3,159,3,0,0,0,technical,medium
70.0,98.0,4,194,2,0,0,0,IT,medium
50.0,68.0,4,161,3,0,0,0,sales,medium
72.0,72.0,5,194,4,0,0,0,technical,low
37.0,49.0,2,151,3,0,1,0,sales,low
81.0,65.0,3,195,2,0,0,0,IT,medium
17.0,93.0,3,218,4,0,0,0,technical,low
91.0,64.0,3,241,10,0,0,0,sales,medium
57.99999999999999,69.0,4,165,3,0,0,0,technical,low
39.0,53.0,2,146,3,0,1,0,sales,low
57.99999999999999,61.0,4,200,3,0,0,0,technical,low
11.0,80.0,7,296,4,0,1,0,sales,low
53.0,88.0,3,157,3,0,0,0,IT,low
66.0,62.0,4,250,2,0,0,0,RandD,medium
50.0,64.0,4,208,2,0,0,0,marketing,medium
30.0,47.0,6,156,2,1,0,0,support,medium
91.0,85.0,4,203,2,0,0,0,sales,low
83.0,95.0,4,251,5,0,1,0,marketing,medium
88.0,82.0,4,109,2,0,0,0,support,medium
67.0,56.99999999999999,2,160,4,0,0,0,support,low
95.0,54.0,4,255,2,0,0,0,sales,low
93.0,92.0,5,185,5,0,0,0,technical,low
87.0,77.0,3,190,3,0,0,0,management,low
67.0,72.0,4,223,3,0,0,0,support,medium
10.0,81.0,7,270,4,0,1,0,RandD,medium
43.0,56.99999999999999,2,157,3,0,1,0,sales,low
100.0,88.0,4,252,4,0,0,0,accounting,low
95.0,50.0,4,259,3,0,0,0,sales,low
69.0,56.00000000000001,5,271,3,0,0,0,support,low
84.0,56.00000000000001,5,224,2,0,0,0,support,medium
41.0,53.0,2,157,3,0,1,0,sales,low
62.0,79.0,5,172,3,0,0,0,accounting,low
52.0,72.0,4,222,3,0,0,0,sales,low
20.0,78.0,4,196,3,0,0,0,management,low
30.0,39.0,3,175,3,0,0,0,sales,medium
89.0,85.0,5,266,5,0,1,0,sales,low
19.0,63.0,6,241,6,0,0,0,sales,high
57.99999999999999,79.0,4,149,6,0,0,0,sales,medium
73.0,90.0,3,274,2,0,0,0,support,high
68.0,78.0,3,232,3,0,0,0,sales,low
23.0,94.0,5,242,4,0,0,0,support,medium
36.0,65.0,3,116,2,1,0,0,sales,low
57.99999999999999,56.99999999999999,5,205,2,0,0,0,marketing,high
83.0,91.0,3,251,2,0,0,0,RandD,medium
83.0,64.0,4,242,2,0,0,0,sales,low
11.0,88.0,6,290,4,0,1,0,hr,low
66.0,62.0,2,159,3,1,0,0,technical,medium
43.0,56.00000000000001,2,129,3,0,1,0,sales,low
44.0,42.0,2,199,2,0,0,0,support,medium
74.0,76.0,5,255,4,0,0,0,sales,medium
61.0,55.00000000000001,5,266,2,0,0,0,sales,medium
11.0,88.0,6,253,4,0,1,0,support,low
49.0,60.0,3,191,3,1,0,0,RandD,high
43.0,47.0,2,158,3,0,1,0,product_mng,low
37.0,47.0,2,149,3,0,1,0,sales,low
34.0,72.0,3,118,4,0,0,0,IT,low
74.0,100.0,4,249,5,0,1,0,IT,low
83.0,71.0,4,196,2,0,0,0,RandD,medium
50.0,65.0,4,266,3,1,0,0,sales,medium
22.0,61.0,3,148,5,0,0,0,sales,medium
64.0,93.0,5,198,2,0,0,0,technical,high
67.0,68.0,4,171,3,0,0,0,sales,low
77.0,78.0,3,269,3,0,0,0,support,medium
77.0,51.0,4,141,3,1,0,0,technical,low
61.0,86.0,3,239,3,0,0,0,IT,low
54.0,97.0,5,233,3,1,0,0,marketing,low
69.0,89.0,3,216,4,0,0,0,technical,low
89.0,93.0,4,141,2,0,0,0,marketing,low
9.0,62.0,6,294,4,0,1,0,accounting,low
37.0,70.0,2,188,2,0,0,0,sales,high
26.0,97.0,3,125,2,0,0,0,support,low
89.0,92.0,5,237,5,0,1,0,sales,medium
36.0,49.0,2,133,3,0,1,0,hr,medium
42.0,54.0,2,135,3,0,1,0,sales,medium
11.0,97.0,6,284,4,0,1,0,sales,low
57.99999999999999,91.0,3,124,2,0,0,0,technical,medium
89.0,92.0,5,242,5,0,1,0,sales,low
52.0,38.0,2,103,3,0,0,0,support,medium
89.0,64.0,4,237,2,0,0,0,support,medium
99.0,87.0,5,211,2,0,0,0,support,medium
45.0,66.0,3,111,4,0,0,0,sales,low
74.0,53.0,5,141,2,0,0,0,accounting,low
66.0,99.0,3,228,2,0,0,0,technical,low
54.0,59.0,4,202,3,0,0,0,IT,low
83.0,77.0,3,228,3,0,0,0,sales,medium
20.0,52.0,5,218,5,0,0,0,technical,medium
67.0,70.0,5,159,3,1,0,0,support,medium
52.0,53.0,4,159,4,0,0,0,sales,low
57.99999999999999,75.0,4,222,3,1,0,0,product_mng,low
36.0,46.0,2,132,3,0,1,0,sales,low
65.0,89.0,3,151,2,0,0,0,technical,low
74.0,100.0,4,249,5,0,1,0,IT,low
83.0,70.0,5,154,3,0,0,0,technical,medium
81.0,64.0,4,213,3,0,0,0,support,medium
40.0,50.0,2,130,3,0,1,0,sales,low
66.0,65.0,5,161,3,0,0,0,support,medium
42.0,48.0,2,129,3,0,1,0,management,low
89.0,66.0,4,252,3,0,0,0,technical,medium
97.0,60.0,5,133,2,0,0,0,RandD,medium
77.0,87.0,5,266,5,0,1,0,accounting,medium
49.0,46.0,2,129,2,0,0,0,RandD,high
45.0,39.0,2,167,3,0,0,0,support,medium
50.0,99.0,4,272,2,0,0,0,sales,medium
83.0,69.0,4,233,2,0,0,0,sales,medium
48.0,54.0,4,105,5,1,0,0,support,low
89.0,87.0,5,275,6,0,1,0,marketing,low
91.0,89.0,4,247,5,0,1,0,hr,low
21.0,78.0,4,218,6,0,0,0,technical,low
90.0,49.0,3,259,6,0,0,0,IT,medium
81.0,86.0,5,159,2,0,0,0,accounting,medium
48.0,49.0,3,268,3,0,0,0,hr,low
44.0,54.0,2,149,3,0,1,0,hr,low
57.99999999999999,77.0,3,180,2,0,0,0,accounting,high
88.0,85.0,3,220,3,0,0,0,management,medium
55.00000000000001,72.0,3,149,3,0,0,0,management,low
97.0,55.00000000000001,4,258,3,0,0,0,hr,medium
11.0,79.0,6,292,4,0,1,0,IT,low
67.0,64.0,5,248,3,0,0,0,support,medium
24.0,78.0,5,131,5,0,0,0,sales,low
71.0,36.0,2,132,5,0,0,0,support,medium
56.99999999999999,62.0,3,198,4,0,0,0,sales,medium
37.0,52.0,2,143,3,0,1,0,sales,medium
42.0,46.0,3,128,2,1,0,0,RandD,low
59.0,81.0,4,173,2,0,0,0,sales,medium
95.0,84.0,3,240,7,0,0,0,sales,medium
91.0,90.0,3,169,3,0,0,0,technical,low
53.0,96.0,4,272,2,0,0,0,support,low
74.0,68.0,3,206,2,1,0,0,support,medium
59.0,99.0,5,254,3,1,0,0,sales,low
73.0,88.0,4,236,3,1,0,0,technical,low
83.0,50.0,5,274,3,0,0,0,accounting,low
80.0,55.00000000000001,4,178,2,1,0,0,support,low
39.0,49.0,2,129,3,0,1,0,technical,medium
10.0,81.0,6,301,4,1,1,0,sales,medium
10.0,90.0,7,281,4,0,1,0,sales,low
84.0,81.0,4,236,3,1,0,0,IT,low
65.0,66.0,3,164,2,0,0,0,sales,low
89.0,75.0,3,167,2,0,0,0,technical,low
15.0,74.0,6,144,7,0,0,1,management,high
63.0,87.0,2,101,3,0,0,0,technical,low
96.0,62.0,5,185,3,0,0,0,sales,low
98.0,56.00000000000001,3,139,2,1,0,0,support,low
55.00000000000001,98.0,3,169,2,0,0,0,support,medium
87.0,49.0,2,251,3,0,0,0,sales,medium
44.0,51.0,2,129,3,0,1,0,support,medium
65.0,70.0,4,157,4,0,0,0,support,medium
77.0,83.0,3,160,3,0,0,0,support,low
42.0,59.0,3,156,2,0,0,0,technical,low
17.0,61.0,6,154,10,1,0,0,sales,medium
73.0,97.0,3,174,3,0,0,0,sales,low
46.0,66.0,6,229,3,0,0,0,support,medium
91.0,82.0,4,238,2,0,0,0,management,low
77.0,85.0,4,189,2,0,0,0,sales,low
22.0,89.0,4,262,4,0,0,0,sales,high
49.0,95.0,4,156,2,0,0,0,technical,medium
25.0,46.0,4,214,4,0,1,0,technical,medium
63.0,70.0,6,141,3,1,0,0,marketing,medium
52.0,92.0,4,112,2,0,0,0,technical,medium
68.0,85.0,5,173,3,0,0,0,marketing,low
74.0,81.0,5,106,5,0,0,0,sales,medium
49.0,56.99999999999999,2,213,3,1,0,0,product_mng,low
49.0,94.0,5,136,3,0,0,0,product_mng,medium
76.0,85.0,3,180,7,0,0,0,sales,medium
61.0,62.0,3,191,3,0,0,0,technical,low
76.0,100.0,5,265,2,0,0,0,accounting,low
9.0,95.0,6,304,4,0,1,0,sales,low
86.0,72.0,3,217,3,0,0,0,sales,low
39.0,51.0,2,151,3,0,1,0,hr,medium
73.0,95.0,4,223,6,0,1,0,support,low
9.0,89.0,6,282,4,0,1,0,support,low
67.0,76.0,2,210,2,0,0,0,sales,medium
59.0,59.0,3,173,3,0,0,0,IT,low
17.0,59.0,4,179,4,0,0,0,product_mng,low
89.0,92.0,5,242,5,0,1,0,sales,low
93.0,52.0,4,200,3,0,0,0,technical,low
94.0,80.0,6,147,3,0,0,0,technical,medium
57.99999999999999,79.0,4,196,3,1,0,0,hr,low
48.0,84.0,4,186,7,0,0,1,management,medium
38.0,55.00000000000001,2,147,3,0,1,0,sales,low
65.0,77.0,3,233,2,0,0,0,sales,high
80.0,85.0,3,135,2,0,0,0,sales,medium
15.0,36.0,5,159,2,0,0,0,accounting,low
63.0,73.0,3,272,2,0,0,0,product_mng,low
62.0,70.0,5,180,4,0,0,0,product_mng,high
56.99999999999999,65.0,4,162,3,1,0,0,sales,low
83.0,55.00000000000001,5,250,3,1,0,0,sales,medium
38.0,54.0,2,157,3,0,1,0,marketing,medium
28.000000000000004,76.0,3,150,2,0,0,0,technical,medium
94.0,55.00000000000001,3,160,3,0,0,0,sales,low
76.0,52.0,2,229,3,0,0,1,technical,medium
76.0,98.0,5,217,6,0,1,0,product_mng,medium
22.0,70.0,2,274,10,0,0,0,sales,high
57.99999999999999,49.0,3,135,2,0,0,0,IT,medium
88.0,91.0,4,233,4,0,0,0,technical,high
49.0,96.0,2,206,2,0,0,0,marketing,low
96.0,63.0,4,142,4,0,0,0,technical,medium
70.0,55.00000000000001,4,233,2,0,0,0,support,medium
10.0,82.0,7,265,4,0,1,0,RandD,low
10.0,87.0,6,284,4,0,1,0,sales,medium
83.0,37.0,5,101,4,1,0,0,support,low
91.0,97.0,5,233,5,0,1,0,hr,medium
88.0,51.0,3,211,7,0,0,0,sales,medium
85.0,78.0,4,106,2,0,0,0,technical,low
59.0,47.0,3,143,2,0,0,0,technical,medium
74.0,67.0,5,140,3,0,0,0,hr,medium
88.0,65.0,5,228,3,0,0,0,sales,medium
67.0,65.0,3,265,3,0,0,0,product_mng,medium
88.0,67.0,5,260,3,1,0,0,RandD,low
79.0,56.99999999999999,3,168,2,0,0,0,technical,medium
57.99999999999999,57.99999999999999,3,122,3,0,0,0,management,high
77.0,96.0,6,225,4,0,0,0,support,medium
45.0,54.0,2,129,3,0,1,0,technical,medium
11.0,90.0,6,253,4,0,1,0,sales,medium
14.000000000000002,51.0,4,253,6,0,0,0,RandD,medium
53.0,67.0,4,167,2,0,0,0,management,low
13.0,100.0,4,157,5,1,0,0,technical,low
9.0,95.0,7,256,4,0,1,0,marketing,medium
83.0,73.0,4,262,2,0,0,0,RandD,medium
82.0,93.0,3,247,3,0,0,0,technical,medium
30.0,67.0,3,150,2,0,0,0,technical,medium
95.0,54.0,4,180,5,0,0,0,sales,high
84.0,99.0,3,144,4,0,0,0,sales,medium
52.0,80.0,3,156,3,0,0,0,sales,medium
56.99999999999999,91.0,4,224,10,0,0,0,sales,medium
95.0,63.0,4,153,3,0,0,0,support,low
96.0,75.0,4,165,3,0,0,0,technical,high
61.0,82.0,4,184,8,0,0,0,IT,low
65.0,54.0,2,177,3,0,0,0,accounting,low
41.0,56.00000000000001,2,150,3,0,1,0,product_mng,low
82.0,85.0,5,218,5,0,1,0,sales,low
79.0,84.0,4,240,5,0,1,0,sales,medium
77.0,98.0,5,259,6,0,1,0,product_mng,low
56.99999999999999,39.0,4,132,3,0,0,0,product_mng,high
52.0,81.0,3,253,2,0,0,0,support,medium
21.0,57.99999999999999,7,203,5,0,1,0,support,medium
74.0,50.0,4,216,3,0,0,0,sales,medium
92.0,82.0,4,168,3,0,0,1,support,low
77.0,76.0,5,149,2,0,0,0,technical,medium
83.0,100.0,5,269,5,0,1,0,IT,medium
48.0,97.0,4,141,2,0,0,0,IT,low
80.0,70.0,3,238,2,0,0,0,technical,medium
47.0,79.0,3,284,10,0,0,0,sales,low
59.0,49.0,7,263,4,0,1,0,technical,medium
72.0,99.0,3,143,4,0,0,0,sales,low
53.0,56.00000000000001,4,281,6,0,1,0,hr,medium
59.0,64.0,5,269,3,0,0,0,support,medium
11.0,96.0,6,298,4,0,1,0,sales,low
42.0,48.0,2,155,3,0,1,0,hr,medium
59.0,54.0,4,178,2,0,0,0,support,medium
45.0,47.0,2,135,3,0,1,0,RandD,medium
60.0,84.0,2,221,3,0,0,0,accounting,low
62.0,51.0,4,175,3,0,0,0,support,low
40.0,46.0,2,127,3,0,1,0,hr,medium
67.0,94.0,2,192,3,0,0,0,product_mng,low
72.0,88.0,5,216,10,1,0,0,support,medium
84.0,89.0,3,234,2,0,0,0,sales,medium
19.0,91.0,5,145,3,0,0,0,management,low
81.0,83.0,3,196,2,0,0,0,technical,low
59.0,77.0,3,272,8,0,0,0,management,high
10.0,80.0,6,264,4,0,1,0,technical,low
38.0,49.0,2,127,3,0,1,0,support,medium
100.0,65.0,4,202,4,1,0,0,hr,low
80.0,80.0,4,146,3,1,0,0,IT,low
61.0,81.0,4,134,3,0,0,0,sales,medium
50.0,55.00000000000001,4,148,3,1,0,0,hr,low
74.0,86.0,5,153,2,0,0,0,sales,low
95.0,53.0,4,263,3,0,0,0,IT,low
54.0,92.0,4,228,3,0,0,1,marketing,medium
38.0,55.00000000000001,2,147,3,0,1,0,sales,low
81.0,88.0,4,149,3,0,0,0,accounting,medium
30.0,70.0,5,280,4,1,0,0,accounting,low
40.0,54.0,2,141,3,0,1,0,technical,medium
85.0,89.0,4,177,3,0,0,0,technical,medium
60.0,91.0,3,157,4,0,0,0,hr,medium
65.0,82.0,4,207,2,0,0,0,support,low
91.0,99.0,5,228,4,1,0,0,sales,low
79.0,79.0,4,231,2,0,0,0,sales,low
79.0,72.0,5,245,3,1,0,0,technical,low
68.0,69.0,3,148,2,0,0,0,IT,low
87.0,48.0,5,242,3,0,0,0,sales,medium
42.0,50.0,2,155,3,0,1,0,hr,low
83.0,84.0,3,249,2,0,0,0,support,medium
88.0,61.0,4,177,4,1,0,0,support,low
16.0,68.0,5,149,7,1,0,0,sales,medium
83.0,73.0,4,157,2,0,0,0,RandD,medium
45.0,49.0,2,151,3,0,1,0,hr,low
10.0,91.0,6,255,4,0,1,0,sales,medium
61.0,37.0,4,165,6,0,0,0,marketing,medium
56.00000000000001,96.0,2,269,2,0,0,0,technical,low
25.0,76.0,6,182,3,0,0,0,accounting,low
49.0,83.0,2,185,6,0,0,0,support,medium
95.0,78.0,4,245,3,0,0,0,sales,low
76.0,60.0,3,140,2,0,0,0,RandD,low
39.0,56.99999999999999,2,130,3,0,1,0,hr,low
92.0,84.0,3,220,3,1,0,0,technical,high
52.0,47.0,3,108,5,0,0,0,management,medium
59.0,51.0,2,145,5,0,0,0,technical,medium
83.0,78.0,5,250,2,1,0,0,sales,low
84.0,53.0,2,275,3,0,0,0,product_mng,low
100.0,63.0,2,105,2,0,0,0,sales,medium
46.0,47.0,6,101,5,0,0,0,hr,low
53.0,75.0,4,201,2,0,0,0,sales,low
70.0,54.0,5,263,3,0,0,0,technical,low
62.0,95.0,4,140,2,0,0,0,accounting,low
54.0,72.0,5,206,4,0,0,0,sales,high
64.0,77.0,3,213,3,1,0,0,RandD,medium
66.0,65.0,4,244,2,0,0,0,IT,medium
51.0,99.0,3,233,4,0,0,0,IT,low
55.00000000000001,92.0,3,198,3,0,0,0,sales,low
56.00000000000001,75.0,5,143,5,0,0,0,support,medium
87.0,68.0,4,217,3,0,0,0,sales,medium
99.0,68.0,4,235,3,0,0,0,product_mng,low
21.0,50.0,5,255,5,0,0,0,technical,medium
10.0,93.0,6,253,4,0,1,0,IT,medium
71.0,68.0,4,208,2,0,0,0,accounting,high
97.0,69.0,4,203,2,0,0,0,management,low
10.0,83.0,6,295,4,0,1,0,product_mng,medium
67.0,92.0,4,156,2,0,0,0,support,medium
91.0,66.0,3,208,4,0,0,0,sales,medium
90.0,91.0,5,176,3,0,0,0,sales,medium
91.0,60.0,4,235,4,1,0,0,marketing,low
52.0,85.0,3,250,4,0,0,0,sales,low
10.0,87.0,6,307,4,0,1,0,product_mng,high
17.0,78.0,6,284,4,0,0,0,IT,medium
74.0,92.0,4,261,5,0,1,0,technical,medium
86.0,56.99999999999999,4,183,3,0,0,0,sales,low
10.0,81.0,6,309,4,0,1,0,technical,low
41.0,47.0,2,135,3,0,1,0,support,low
59.0,63.0,4,153,3,1,0,0,sales,low
76.0,85.0,3,204,2,1,0,0,product_mng,medium
39.0,55.00000000000001,2,156,3,0,1,0,product_mng,medium
81.0,74.0,2,228,3,0,0,0,management,high
37.0,52.0,2,157,3,0,1,0,sales,low
79.0,94.0,3,204,2,1,0,0,sales,low
75.0,73.0,4,274,2,0,0,0,RandD,low
81.0,81.0,5,250,4,0,0,1,sales,medium
86.0,100.0,3,166,3,1,0,0,accounting,medium
99.0,57.99999999999999,2,166,3,0,0,0,marketing,medium
75.0,56.99999999999999,5,162,3,0,0,0,accounting,medium
66.0,87.0,3,186,2,0,0,0,IT,medium
10.0,81.0,7,244,5,0,1,0,hr,medium
92.0,93.0,4,225,2,0,0,1,RandD,medium
84.0,73.0,3,146,5,1,0,0,technical,high
73.0,94.0,3,251,6,0,0,0,sales,medium
97.0,50.0,3,216,3,0,0,0,IT,low
82.0,75.0,3,161,3,0,0,0,sales,low
62.0,55.00000000000001,4,218,3,0,0,0,support,medium
9.0,88.0,6,269,4,0,1,0,technical,medium
100.0,41.0,4,174,3,0,0,0,technical,low
49.0,65.0,4,233,7,0,0,0,sales,medium
21.0,81.0,4,144,4,0,0,0,sales,medium
41.0,51.0,2,156,3,0,1,0,technical,medium
65.0,67.0,4,144,3,0,0,0,technical,low
42.0,54.0,2,159,3,0,1,0,sales,medium
10.0,77.0,7,250,5,0,1,0,RandD,medium
40.0,56.00000000000001,2,131,3,0,1,0,IT,low
36.0,48.0,2,156,3,0,1,0,accounting,high
79.0,82.0,5,158,2,0,0,0,support,low
90.0,92.0,3,152,3,0,0,0,accounting,low
82.0,91.0,5,271,2,0,0,1,RandD,medium
57.99999999999999,79.0,4,130,3,0,0,0,IT,medium
54.0,83.0,6,165,6,0,1,0,support,low
52.0,83.0,4,180,2,0,0,0,support,medium
80.0,83.0,5,275,5,0,1,0,support,low
44.0,53.0,2,155,3,0,1,0,product_mng,medium
71.0,84.0,3,139,2,0,0,0,hr,low
77.0,82.0,3,147,4,0,0,0,sales,high
66.0,97.0,3,263,3,0,0,0,accounting,medium
97.0,84.0,4,177,6,0,0,0,technical,low
44.0,81.0,3,248,2,0,0,0,accounting,medium
67.0,36.0,3,280,4,0,0,0,support,low
51.0,97.0,4,258,2,0,0,0,sales,medium
79.0,49.0,3,137,2,0,0,0,IT,medium
72.0,95.0,4,216,3,0,0,0,sales,low
24.0,94.0,6,141,3,1,0,0,sales,low
44.0,51.0,2,152,3,0,1,0,product_mng,medium
50.0,73.0,4,180,3,0,0,0,IT,low
48.0,81.0,4,149,2,0,0,0,management,medium
85.0,90.0,3,245,3,0,0,0,marketing,medium
79.0,59.0,2,157,6,0,0,0,sales,high
54.0,44.0,3,153,2,0,0,0,technical,low
94.0,90.0,4,144,4,0,0,0,support,low
91.0,80.0,5,169,4,0,0,0,sales,low
78.0,89.0,4,272,2,0,0,0,support,low
9.0,84.0,7,307,4,0,1,0,IT,medium
63.0,82.0,5,268,3,0,0,0,hr,high
57.99999999999999,84.0,3,258,4,0,0,0,support,low
73.0,98.0,4,160,3,0,0,0,IT,medium
62.0,57.99999999999999,3,148,2,1,0,0,technical,low
73.0,72.0,5,178,2,0,0,0,management,low
43.0,47.0,2,130,3,0,1,0,technical,low
97.0,93.0,2,160,6,0,0,0,technical,medium
92.0,50.0,5,258,3,0,0,0,hr,medium
41.0,47.0,2,138,3,0,1,0,sales,low
96.0,85.0,3,186,2,0,0,0,hr,medium
94.0,56.99999999999999,3,166,4,0,0,0,sales,medium
90.0,52.0,3,162,2,0,0,0,sales,high
56.99999999999999,49.0,3,159,4,1,0,0,technical,high
82.0,55.00000000000001,3,217,4,1,0,0,technical,medium
36.0,56.00000000000001,2,132,3,0,1,0,IT,medium
77.0,62.0,5,190,3,0,0,0,RandD,low
86.0,91.0,4,253,3,0,0,0,IT,low
80.0,60.0,3,247,2,0,0,0,sales,medium
90.0,64.0,4,209,4,0,0,0,sales,low
38.0,56.00000000000001,2,154,3,0,1,0,sales,low
